"SiteID","Treatment","n","Annn2o","meanDailyn2o","AnnPrecip","stemp10","WFPS","stemp5","tavg"
"bel.18","Early.Termination",365,4094.833333303,15.9176090049017,390.35,18.4582249701757,35.3991685047597,NA,NA
"bel.18","Late.Termination",365,323.283333751,1.37420321978969,390.35,18.4582252563669,35.3991685047597,NA,NA
"bel.18","Mowed.Pasture",365,74.6083332,0.354803874912667,390.35,18.4582252465407,35.3991685047597,NA,NA
"bel.18","Spring.Crop",365,2046.16663355,7.93039513315435,390.35,18.4582252465407,35.3991685047597,NA,NA
"datalibrarian.137","N000",309,80.943903525,0.262804881574675,266.4,18.8904761904762,51.7173509984615,NA,16.6816993464052
"datalibrarian.137","N040",309,154.046954254,0.500152448876623,266.4,18.8904761904762,51.7173509984615,NA,16.6816993464052
"datalibrarian.137","N120",309,251.110301945,0.815293188133117,266.4,18.8904761904762,51.7173509984615,NA,16.6816993464052
"datalibrarian.137","N200",309,242.75215001,0.788156331201299,266.4,18.8904761904762,51.7173509984615,NA,16.6816993464052
"datalibrarian.158","grass.0n",282,132.89,2.30905152671756,0,22.1901507936508,46.5844173640167,NA,20.8059828244275
"datalibrarian.158","grass.100n",282,715.56,7.9258320610687,0,22.1901507936508,46.5844173640167,NA,20.8059828244275
"datalibrarian.158","legume.0n",282,119.22,1.4235,0,22.1901507936508,46.5844173640167,NA,20.8059828244275
"datalibrarian.158","legume.70n",317,339.505,6.79069847328244,0,21.8999206349206,45.6935271966527,NA,20.6050858778626
"De_Rosa_2018","Co+CONV",892,641.44770181975,2.46340814609671,0,24.9130698541157,60.1472074159338,NA,NA
"De_Rosa_2018","Co+Rd",892,856.25757471675,3.33378747095174,0,24.9130698541157,60.1472074159338,NA,NA
"De_Rosa_2018","CONV",348,589.4749999915,3.8389055274959,0,23.1497046670181,61.5650514856444,NA,NA
"De_Rosa_2018","Ma+CONV",892,1227.33360921825,4.69890857457062,0,24.9130698541157,60.1472074159338,NA,NA
"De_Rosa_2018","Ma+Rd",891,1274.295039023,5.58595061978448,0,24.9225814683186,60.2311490893949,NA,NA
"deantoni","cnt",349,911.62436918,6.78199849551911,88.4,19.8994662140078,46.5892642364776,NA,17.8972301602943
"deantoni","conv",349,3030.493411207,20.2662563175516,88.4,19.8994662140078,46.5892642364776,NA,17.8972301602943
"deantoni","conv-dmpp",349,1213.7514416105,8.61791956110863,88.4,19.8994662140078,46.5892642364776,NA,17.8972301602943
"deantoni","rfr",349,1438.336282845,9.85970731714871,88.4,19.8994662140078,46.5892642364776,NA,17.8972301602943
"dougherty.6","Urea+DMPP",362,1293.392469708,3.77082352684548,860.6,NA,67.6699479572376,15.8207511533344,NA
"dougherty.6","Urea+NBPT",362,1449.185668011,4.22503110207289,860.6,NA,67.6699479572376,15.8207511533344,NA
"dougherty.8","0n",332,700.3509955,2.17500309161491,714.2,17.2078429771242,69.9319171686747,NA,NA
"dougherty.8","100n",332,2927.9733399,9.09308490652174,714.2,17.2078429771242,69.9319171686747,NA,NA
"dougherty.8","25n",332,969.4169198,3.01061155217391,714.2,17.2078429771242,69.9319171686747,NA,NA
"dougherty.8","50n",332,1294.6388873,4.02061766242236,714.2,17.2078429771242,69.9319171686747,NA,NA
"fuchs.chamau","ParcelA.Control",1461,4712.7,14.2512300571836,0,12.0257707695799,48.4924625668446,NA,NA
"fuchs.chamau","Parcelb.Clover",731,2510,8.24632300002057,0,12.3287156898447,46.5691455172509,NA,NA
"fuchs.chamau","Parcelb.Control",730,4894.15,13.482528364892,0,11.7228258493151,50.4157796164384,NA,NA
"guangdi.76.auto","NoTill_Pasture",254,88.18,0.388458149779736,307.6,15.7882352941176,44.0722413793103,16.0841346153846,13.6547413793103
"guangdi.76.auto","NoTill_Pea",254,91.15,0.401541850220264,307.6,15.7882352941176,44.0722413793103,16.0841346153846,13.6547413793103
"guangdi.76.auto","Till_Pasture",254,139.44,0.614273127753304,307.6,15.7882352941176,44.0722413793103,16.0841346153846,13.6547413793103
"guangdi.76.auto","Till_Pea",254,130.14,0.573303964757709,307.6,15.7882352941176,44.0722413793103,16.0841346153846,13.6547413793103
"kelly.24.27","t3",265,2382.48,9.23441860465116,636.4,14.4122093023256,53.1574484903488,NA,NA
"kelly.24.27","t4",265,1245.995,4.82943798449612,636.4,14.5926356589147,51.2552274584109,NA,NA
"kelly.24.27","t5",265,2222.345,8.61374031007752,636.4,14.5908914728682,50.1571424930233,NA,NA
"kelly.24.27","t6",265,1295.865,5.02273255813954,636.4,14.6054263565891,51.1268359852713,NA,NA
"kelly.30.33","t1",285,719.715,2.52531578947368,736,14.0424561403509,68.3665743305614,NA,NA
"kelly.30.33","t2",285,6927.76,24.3079298245614,736,13.8973684210526,69.6787280697193,NA,NA
"kelly.30.33","t3",285,4705.215,16.5095263157895,736,13.900701754386,71.0948753461404,NA,NA
"kelly.30.33","t4",285,2220.1,7.78982456140351,736,13.9901754385965,71.3487419205614,NA,NA
"kelly.38","t1",297,124.5475,0.917276385978282,190.1,17.544545389598,44.0308684269175,NA,NA
"kelly.38","t2",297,1520.975,12.7894849018861,190.1,17.4606984663745,42.5986450426434,NA,NA
"kelly.38","t3",297,1066.725,8.94272837683368,190.1,17.4952538578777,43.5342101502658,NA,NA
"kelly.38","t4",297,670.18,5.4836429558011,190.1,17.5462981044008,43.7103707410231,NA,NA
"kelly.52","t1",279,346.2925,2.50598095898859,263.1,17.3730380820228,55.0654002241351,NA,NA
"kelly.52","t2",279,2700.21,19.5626171754548,263.1,17.3542553191489,51.8838449619141,NA,NA
"kelly.52","t3",279,2102.39,15.2305168825162,263.1,17.3343778908418,55.2441506098466,NA,NA
"kelly.52","t4",279,544.3525,3.93996261177922,263.1,17.3324236817761,54.5797502111702,NA,NA
"quayle.27","Banna_Sand_Bare_Soil",152,407.85,2.79349315068493,0,15.0950344827586,29.9148401891818,NA,NA
"quayle.27","Banna_Sand_Wheat",152,380.96,2.60931506849315,0,14.3168275862069,23.4911940151545,NA,NA
"quayle.27","Hanwood_Loam_Bare_Soil",152,1066.37,7.30390410958904,0,15.5028965517241,46.4326146554483,NA,NA
"quayle.27","Hanwood_Loam_Wheat",152,438.7,3.04652777777778,0,13.796275862069,41.6826876437931,NA,NA
"quayle.27","Mundiwa_Clay_Loam_Bare_Soil",152,3525.67,24.3149655172414,0,14.5035172413793,54.0933443105517,NA,NA
"quayle.27","Mundiwa_Clay_Loam_Wheat",152,575.04,3.96579310344828,0,14.284275862069,41.1607716667586,NA,NA
"quayle.33","120mm_Irri",123,1707.3,13.880487804878,185.2,22.1037735849057,65.47133125,NA,20.9276422764228
"quayle.33","30mm_Irri",123,838.5,6.81707317073171,185.2,22.1415094339623,63.8707229169811,NA,20.9276422764228
"quayle.33","60mm_Irri",123,1282.6,10.4276422764228,185.2,21.815,54.6906479166981,NA,20.9276422764228
"quayle.33","90mm_Irri",123,1812,14.7317073170732,185.2,22.9141509433962,50.5172375001887,NA,20.9276422764228
"scheer.inhib","zeroN",341,81.35,0.886911450924609,243.55,22.9594488188976,44.8734202755905,NA,NA
"Tgas_Manitoba","Field1-perennial",1528,5058.960501432,29.9826650693076,394.4284,6.69846981889309,53.6574282654797,6.38554202189728,4.06956568062034
